sample,region,bp,percent_variance
Rhsu e,ITS2,42,0.00591715976331364
Rhsu e,ITS2,80,0.00624999999999998
Rhsu e,ITS2,95,0.00613496932515334
Rhsu e,ITS2,96,0.00609756097560976
Rhsu e,ITS2,123,0.00641025641025639
Rhsu d,ITS2,2,0.00433839479392628
Rhsu d,ITS2,14,0.0021929824561403
Rhsu d,ITS2,23,0.00227790432801822
Rhsu d,ITS2,31,0.00242130750605329
Rhsu d,ITS2,32,0.00485436893203883
Rhsu d,ITS2,41,0.00257069408740362
Rhsu d,ITS2,42,0.00256410256410255
Rhsu d,ITS2,44,0.00264550264550267
Rhsu d,ITS2,53,0.00263157894736843
Rhsu d,ITS2,54,0.00255754475703329
Rhsu d,ITS2,63,0.00275482093663915
Rhsu d,ITS2,69,0.00260416666666663
Rhsu d,ITS2,71,0.00250626566416046
Rhsu d,ITS2,103,0.00505050505050508
Rhsu d,ITS2,105,0.00251256281407031
Rhsu d,ITS2,116,0.00258397932816534
Rhsu d,ITS2,119,0.00254452926208648
Rhsu d,ITS2,131,0.00476190476190474
Rhsu d,ITS2,135,0.00235849056603776
Rhsu d,ITS2,136,0.00236966824644547
Rhsu d,ITS2,147,0.00233644859813087
Rhsu c,ITS2,4,0.00290697674418605
Rhsu c,ITS2,19,0.00291545189504372
Rhsu c,ITS2,31,0.0029673590504451
Rhsu c,ITS2,42,0.00304878048780488
Rhsu c,ITS2,48,0.00311526479750779
Rhsu c,ITS2,79,0.00315457413249209
Rhsu c,ITS2,98,0.00302114803625375
Rhsu c,ITS2,109,0.00315457413249209
Rhsu c,ITS2,123,0.00621118012422361
Rhsu b,ITS2,97,0.00729927007299269
Rhsu b,ITS2,127,0.00740740740740742
Rhsu a,ITS2,2,0.00311526479750779
Rhsu a,ITS2,18,0.00628930817610063
Rhsu a,ITS2,38,0.0036496350364964
Rhsu a,ITS2,56,0.00350877192982457
Rhsu a,ITS2,73,0.00373134328358204
Rhsu a,ITS2,103,0.00359712230215825
Rhsu a,ITS2,111,0.00377358490566038
Rhsu a,ITS2,140,0.0060422960725075
Rhsu a,ITS2,144,0.00300300300300305
Rhsu a,ITS2,151,0.00294985250737467
Rhpor f,ITS2,1,0.00347222222222221
Rhpor f,ITS2,31,0.00361010830324915
Rhpor f,ITS2,45,0.00380228136882133
Rhpor f,ITS2,52,0.00362318840579712
Rhpor f,ITS2,53,0.00374531835205993
Rhpor f,ITS2,79,0.00340136054421769
Rhpor f,ITS2,120,0.0033783783783784
Rhpor f,ITS2,123,0.00326797385620914
Rhpor f,ITS2,124,0.00651465798045603
Rhpor e,ITS2,3,0.00187969924812026
Rhpor e,ITS2,11,0.00181488203266789
Rhpor e,ITS2,19,0.00188323917137478
Rhpor e,ITS2,38,0.00199203187250996
Rhpor e,ITS2,41,0.00206185567010309
Rhpor e,ITS2,61,0.00199203187250996
Rhpor e,ITS2,67,0.00205761316872433
Rhpor e,ITS2,68,0.00203252032520329
Rhpor e,ITS2,80,0.00193423597678921
Rhpor e,ITS2,90,0.00185185185185188
Rhpor e,ITS2,93,0.00189753320683117
Rhpor e,ITS2,98,0.0018621973929237
Rhpor e,ITS2,100,0.00183150183150182
Rhpor e,ITS2,103,0.0018587360594795
Rhpor e,ITS2,110,0.00191938579654516
Rhpor e,ITS2,123,0.00378787878787878
Rhpor e,ITS2,124,0.00186567164179108
Rhpor e,ITS2,144,0.00326797385620914
Rhpor e,ITS2,154,0.00168634064080941
Rhpor d,ITS2,3,0.00187969924812026
Rhpor d,ITS2,11,0.00181488203266789
Rhpor d,ITS2,19,0.00188323917137478
Rhpor d,ITS2,38,0.00199203187250996
Rhpor d,ITS2,41,0.00206185567010309
Rhpor d,ITS2,61,0.00199203187250996
Rhpor d,ITS2,67,0.00205761316872433
Rhpor d,ITS2,68,0.00203252032520329
Rhpor d,ITS2,80,0.00193423597678921
Rhpor d,ITS2,90,0.00185185185185188
Rhpor d,ITS2,93,0.00189753320683117
Rhpor d,ITS2,98,0.0018621973929237
Rhpor d,ITS2,100,0.00183150183150182
Rhpor d,ITS2,103,0.0018587360594795
Rhpor d,ITS2,110,0.00191938579654516
Rhpor d,ITS2,123,0.00378787878787878
Rhpor d,ITS2,124,0.00186567164179108
Rhpor d,ITS2,144,0.00326797385620914
Rhpor d,ITS2,154,0.00168634064080941
Rhpor c,ITS2,10,0.0976430976430976
Rhpor c,ITS2,11,0.0952380952380952
Rhpor c,ITS2,14,0.00344827586206897
Rhpor c,ITS2,25,0.00350877192982457
