sample,region,bp,percent_variance
Rhsu e,ITS1,14,0.0125
Rhsu e,ITS1,21,0.0119760479041916
Rhsu d,ITS1,10,0.017910447761194
Rhsu d,ITS1,53,0.0201511335012594
Rhsu d,ITS1,158,0.0169851380042463
Rhsu c,ITS1,10,0.0237388724035609
Rhsu b,ITS1,10,0.0188679245283019
Rhpor c,ITS1,28,0.0431034482758621
Rhpor c,ITS1,29,0.0512820512820513
Rhpor c,ITS1,34,0.0651162790697675
Rhpor c,ITS1,97,0.0695652173913044
Rhpor c,ITS1,108,0.0604651162790698
Rhpor c,ITS1,112,0.0304347826086957
Rhpor c,ITS1,124,0.0504587155963303
Rhpor c,ITS1,128,0.042016806722689
Rhpor c,ITS1,135,0.0513833992094862
Rhpor c,ITS1,186,0.0698254364089775
Rhpol d,ITS1,21,0.0208333333333334
Rhpol c,ITS1,27,0.0285714285714286
Rhpol c,ITS1,192,0.0147058823529411
Rhpol a,ITS1,10,0.0168421052631579
Rhpol a,ITS1,21,0.0160427807486631
Rhpol a,ITS1,27,0.0107991360691144
Rhpa c,ITS1,21,0.0514705882352942
Rhpa b,ITS1,10,0.0303030303030303
Rhpa b,ITS1,186,0.0178571428571429
Rhpa a,ITS1,10,0.0178571428571429
Rhpa a,ITS1,21,0.0229007633587787
Rhme e,ITS1,10,0.0113636363636364
Rhme e,ITS1,48,0.0117647058823529
Rhme e,ITS1,81,0.0140845070422535
Rhme c,ITS1,21,0.0112359550561798
Rhme c,ITS1,108,0.182389937106918
Rhme c,ITS1,170,0.222222222222222
Rhme c,ITS1,184,0.202586206896552
Rhme a,ITS1,81,0.0172413793103449
Rhme a,ITS1,137,0.0136986301369864
Rhme a,ITS1,171,0.0120481927710844
Rhha a,ITS1,81,0.333333333333333
Rhsu d,5.8s,39,0.0255474452554745
Rhsu c,5.8s,145,0.05
Rhpor c,5.8s,69,0.0209424083769634
Rhpor c,5.8s,120,0.0152439024390244
Rhpor c,5.8s,122,0.0123839009287926
Rhpor c,5.8s,159,0.0505050505050505
Rhpol c,5.8s,30,0.015625
Rhpol c,5.8s,51,0.0161290322580645
Rhpol b,5.8s,122,0.0102827763496144
Rhpol b,5.8s,158,0.0102040816326531
Rhpa c,5.8s,120,0.0120481927710844
Rhpa c,5.8s,121,0.0121212121212121
Rhpa c,5.8s,122,0.0121951219512195
Rhpa b,5.8s,30,0.0163934426229508
Rhpa b,5.8s,131,0.0178571428571429
Rhpa b,5.8s,158,0.0217391304347826
Rhme e,5.8s,69,0.0441176470588235
Rhme e,5.8s,82,0.0150375939849624
Rhme e,5.8s,120,0.0180180180180181
Rhme e,5.8s,121,0.0373831775700935
Rhme e,5.8s,122,0.0454545454545454
Rhme e,5.8s,132,0.0347826086956522
Rhme e,5.8s,158,0.0186915887850467
Rhme d,5.8s,47,0.157894736842105
Rhme d,5.8s,69,0.166666666666667
Rhme d,5.8s,95,0.166666666666667
Rhme d,5.8s,157,0.0909090909090909
Rhme c,5.8s,69,0.0227272727272727
Rhme c,5.8s,122,0.014018691588785
Rhme c,5.8s,136,0.0103092783505154
Rhme a,5.8s,69,0.0116279069767442
Rhme a,5.8s,120,0.0116279069767442
Rhme a,5.8s,122,0.0120481927710844
Rhme a,5.8s,130,0.0120481927710844
Rhme a,5.8s,132,0.0123456790123457
Rhme a,5.8s,158,0.0138888888888888
Rhpor c,ITS2,10,0.0976430976430976
Rhpor c,ITS2,11,0.0952380952380952
Rhpor c,ITS2,38,0.107913669064748
Rhpor c,ITS2,64,0.102941176470588
Rhpor c,ITS2,70,0.099644128113879
Rhpol c,ITS2,53,0.0277777777777778
Rhpol c,ITS2,57,0.0277777777777778
Rhpol c,ITS2,139,0.0166666666666667
Rhpa c,ITS2,10,0.0118343195266272
Rhpa b,ITS2,62,0.025
Rhpa b,ITS2,64,0.025
Rhpa b,ITS2,70,0.0227272727272727
Rhpa b,ITS2,86,0.02
Rhpa b,ITS2,98,0.0208333333333334
Rhpa b,ITS2,128,0.0181818181818182
Rhme e,ITS2,97,0.0112359550561798
Rhme e,ITS2,112,0.0123456790123457
Rhme e,ITS2,120,0.0117647058823529
Rhme e,ITS2,123,0.0109890109890109
Rhme d,ITS2,28,0.0666666666666667
Rhme d,ITS2,54,0.0454545454545454
Rhme d,ITS2,64,0.0555555555555556
Rhme d,ITS2,68,0.05
Rhme d,ITS2,89,0.0476190476190477
Rhme d,ITS2,90,0.0476190476190477
Rhme d,ITS2,91,0.0454545454545454
Rhme d,ITS2,108,0.0476190476190477
Rhme d,ITS2,111,0.0476190476190477
Rhme c,ITS2,94,0.130434782608696
Rhme c,ITS2,108,0.0106382978723404
Rhme a,ITS2,26,0.0128205128205128
Rhme a,ITS2,122,0.0136986301369864
Rhha b,ITS2,31,0.0214285714285715
