sample,region,bp,percent_variance
Rhsu e,5.8s,4,0.005
Rhsu e,5.8s,14,0.00467289719626163
Rhsu e,5.8s,23,0.00476190476190474
Rhsu e,5.8s,75,0.00534759358288772
Rhsu e,5.8s,98,0.00564971751412424
Rhsu e,5.8s,120,0.00621118012422361
Rhsu e,5.8s,121,0.00613496932515334
Rhsu e,5.8s,158,0.00568181818181823
Rhsu d,5.8s,4,0.00178890876565296
Rhsu d,5.8s,8,0.00178890876565296
Rhsu d,5.8s,11,0.00179211469534046
Rhsu d,5.8s,26,0.00178571428571428
Rhsu d,5.8s,30,0.00180180180180178
Rhsu d,5.8s,32,0.00182481751824815
Rhsu d,5.8s,36,0.00180831826401451
Rhsu d,5.8s,39,0.0255474452554745
Rhsu d,5.8s,47,0.00181488203266789
Rhsu d,5.8s,49,0.00181818181818183
Rhsu d,5.8s,51,0.00181159420289856
Rhsu d,5.8s,57,0.00184501845018448
Rhsu d,5.8s,58,0.00368324125230202
Rhsu d,5.8s,70,0.00187265917602997
Rhsu d,5.8s,82,0.00187617260787998
Rhsu d,5.8s,83,0.00189035916824198
Rhsu d,5.8s,115,0.00621118012422361
Rhsu d,5.8s,120,0.00203665987780044
Rhsu d,5.8s,137,0.00208333333333333
Rhsu d,5.8s,140,0.00207900207900202
Rhsu d,5.8s,141,0.00208333333333333
Rhsu d,5.8s,143,0.00208333333333333
Rhsu d,5.8s,152,0.00212314225053079
Rhsu d,5.8s,156,0.00215517241379315
Rhsu d,5.8s,158,0.00220750551876381
Rhsu d,5.8s,159,0.00216919739696309
Rhsu c,5.8s,5,0.00239234449760761
Rhsu c,5.8s,23,0.00224719101123594
Rhsu c,5.8s,31,0.00230414746543783
Rhsu c,5.8s,39,0.00227272727272732
Rhsu c,5.8s,51,0.00229357798165142
Rhsu c,5.8s,57,0.00230414746543783
Rhsu c,5.8s,58,0.00227272727272732
Rhsu c,5.8s,81,0.00234741784037562
Rhsu c,5.8s,116,0.00277777777777777
Rhsu c,5.8s,121,0.00277008310249305
Rhsu c,5.8s,122,0.00278551532033422
Rhsu c,5.8s,129,0.00280112044817926
Rhsu c,5.8s,136,0.00293255131964809
Rhsu c,5.8s,142,0.00573065902578795
Rhsu c,5.8s,145,0.05
Rhsu c,5.8s,150,0.00294117647058822
Rhsu b,5.8s,5,0.00632911392405067
Rhsu b,5.8s,8,0.00641025641025639
Rhsu b,5.8s,16,0.00662251655629142
Rhsu b,5.8s,22,0.0067567567567568
Rhsu b,5.8s,103,0.00649350649350644
Rhsu a,5.8s,4,0.0028490028490028
Rhsu a,5.8s,6,0.00289855072463763
Rhsu a,5.8s,11,0.00284090909090906
Rhsu a,5.8s,32,0.00285714285714289
Rhsu a,5.8s,42,0.00280112044817926
Rhsu a,5.8s,57,0.0027932960893855
Rhsu a,5.8s,75,0.0028169014084507
Rhsu a,5.8s,123,0.00290697674418605
Rhsu a,5.8s,130,0.00293255131964809
Rhsu a,5.8s,150,0.00303951367781152
Rhsu a,5.8s,158,0.00317460317460316
Rhsu a,5.8s,159,0.00314465408805031
Rhpor f,5.8s,8,0.00284090909090906
Rhpor f,5.8s,11,0.00284090909090906
Rhpor f,5.8s,15,0.00271739130434778
Rhpor f,5.8s,21,0.00261096605744127
Rhpor f,5.8s,25,0.00262467191601046
Rhpor f,5.8s,34,0.0025974025974026
Rhpor f,5.8s,36,0.00258397932816534
Rhpor f,5.8s,38,0.00257731958762886
Rhpor f,5.8s,45,0.00257069408740362
Rhpor f,5.8s,57,0.00514138817480725
Rhpor f,5.8s,67,0.00255102040816324
Rhpor f,5.8s,68,0.00257069408740362
Rhpor f,5.8s,98,0.00530503978779839
Rhpor f,5.8s,107,0.00291545189504372
Rhpor f,5.8s,115,0.00304878048780488
Rhpor f,5.8s,117,0.00306748466257667
Rhpor f,5.8s,120,0.00302114803625375
Rhpor f,5.8s,121,0.00611620795107037
Rhpor f,5.8s,125,0.00326797385620914
Rhpor f,5.8s,130,0.00316455696202533
Rhpor f,5.8s,136,0.00699300699300698
Rhpor f,5.8s,148,0.00330033003300334
Rhpor f,5.8s,162,0.00347222222222221
Rhpor e,5.8s,6,0.00149031296572277
Rhpor e,5.8s,7,0.00147492625368728
Rhpor e,5.8s,19,0.0014044943820225
Rhpor e,5.8s,34,0.00138312586445366
Rhpor e,5.8s,35,0.00136612021857918
Rhpor e,5.8s,45,0.00134952766531715
Rhpor e,5.8s,57,0.00136986301369868
Rhpor e,5.8s,58,0.0013869625520111
Rhpor e,5.8s,69,0.0014306151645207
Rhpor e,5.8s,75,0.0014471780028944
Rhpor e,5.8s,83,0.00149700598802394
Rhpor e,5.8s,94,0.00155763239875384
Rhpor e,5.8s,106,0.00161290322580643
Rhpor e,5.8s,112,0.00166389351081531
Rhpor e,5.8s,116,0.00172711571675299
Rhpor e,5.8s,132,0.00179533213644523
Rhpor e,5.8s,136,0.00572519083969469
Rhpor e,5.8s,141,0.0018621973929237
Rhpor e,5.8s,146,0.00187969924812026
Rhpor e,5.8s,151,0.00189035916824198
Rhpor d,5.8s,6,0.00149031296572277
Rhpor d,5.8s,7,0.00147492625368728
